label,cluster,choix,modele
extreme heat_0,10,0,top2vec
transport sector,11,0,top2vec
pre feasibility impact,22,0,top2vec
county seat,51,0,top2vec
certification program_0,102,0,top2vec
economic diversity,145,0,top2vec
natural gas_0,238,0,top2vec
sea level rise,251,0,top2vec
waste disposal,252,0,top2vec
municipal fleet,267,0,top2vec
locally grow,272,0,top2vec
vulnerable population,274,0,top2vec
action plan_0,279,0,top2vec
natural gas_1,280,0,top2vec
community choice,281,0,top2vec
community resilience,282,0,top2vec
long term,284,0,top2vec
specify increase,285,0,top2vec
outdoor lighting,286,0,top2vec
cool center_0,10,0,top2vec
private transport,11,0,top2vec
feasibility study_0,22,0,top2vec
square mile,51,0,top2vec
certification program_1,102,0,top2vec
lack funding,145,0,top2vec
include commercial,238,0,top2vec
sea level,251,0,top2vec
solid waste,252,0,top2vec
electric vehicle,267,0,top2vec
farmer market,272,0,top2vec
extreme heat_1,274,0,top2vec
action plan_1,279,0,top2vec
emission inventory,280,0,top2vec
renewable energy,281,0,top2vec
resilience hub,282,0,top2vec
water supply,284,0,top2vec
specify fund,285,0,top2vec
tree canopy,286,0,top2vec
cool center_1,10,1,top2vec
transport improve,11,1,top2vec
feasibility study_1,22,1,top2vec
mile square,51,1,top2vec
business program,102,1,top2vec
lack resource,145,1,top2vec
commercial building,238,1,top2vec
flood sea,251,1,top2vec
waste diversion,252,1,top2vec
vehicle charge,267,1,top2vec
food meal,272,1,top2vec
heat extreme,274,1,top2vec
plan climate,279,1,top2vec
emission gas,280,1,top2vec
energy solar,281,1,top2vec
partnership resilience,282,1,top2vec
water treatment,284,1,top2vec
specify project,285,1,top2vec
tree street,286,1,top2vec
street lighting,0,0,bert_hdbscan
plastic bag ban,1,0,bert_hdbscan
insect population,56,0,bert_hdbscan
data available,79,0,bert_hdbscan
vulnerability assessment_0,83,0,bert_hdbscan
transit orient development,87,0,bert_hdbscan
urban tree canopy,106,0,bert_hdbscan
instal solar,123,0,bert_hdbscan
community inventory report,160,0,bert_hdbscan
renewable energy,169,0,bert_hdbscan
urban agriculture,170,0,bert_hdbscan
electric bus,177,0,bert_hdbscan
large municipality,179,0,bert_hdbscan
green infrastructure,184,0,bert_hdbscan
climate action plan,187,0,bert_hdbscan
specify grant,190,0,bert_hdbscan
gas emission inventory,191,0,bert_hdbscan
stormwater management,193,0,bert_hdbscan
lead streetlight,0,0,bert_hdbscan
plastic bag,1,0,bert_hdbscan
vector bear,56,0,bert_hdbscan
datum available_0,79,0,bert_hdbscan
vulnerability assessment_1,83,0,bert_hdbscan
orient development,87,0,bert_hdbscan
tree canopy_0,106,0,bert_hdbscan
solar project,123,0,bert_hdbscan
inventory report,160,0,bert_hdbscan
energy efficiency_0,169,0,bert_hdbscan
farmer market,170,0,bert_hdbscan
electric vehicle,177,0,bert_hdbscan
square mile,179,0,bert_hdbscan
commercial building,184,0,bert_hdbscan
action plan,187,0,bert_hdbscan
specify fund,190,0,bert_hdbscan
emission inventory,191,0,bert_hdbscan
water supply,193,0,bert_hdbscan
light lead,0,1,bert_hdbscan
plastic use,1,1,bert_hdbscan
disease tick,56,1,bert_hdbscan
datum available_1,79,1,bert_hdbscan
assessment impact,83,1,bert_hdbscan
development orient,87,1,bert_hdbscan
tree canopy_1,106,1,bert_hdbscan
solar storage,123,1,bert_hdbscan
report inventory,160,1,bert_hdbscan
energy efficiency_1,169,1,bert_hdbscan
food fresh,170,1,bert_hdbscan
charge transit,177,1,bert_hdbscan
mile population,179,1,bert_hdbscan
building commercial,184,1,bert_hdbscan
plan climate,187,1,bert_hdbscan
specify project,190,1,bert_hdbscan
emission gas,191,1,bert_hdbscan
water management,193,1,bert_hdbscan
sea level rise,1,0,nmf_kullback
county seat,36,0,nmf_kullback
poor air quality,50,0,nmf_kullback
include commercial building,83,0,nmf_kullback
wastewater treatment,108,0,nmf_kullback
community wide,114,0,nmf_kullback
specify increase,119,0,nmf_kullback
increase tree canopy,121,0,nmf_kullback
electri natural gas,124,0,nmf_kullback
vulnerability assessment,125,0,nmf_kullback
income household,127,0,nmf_kullback
waste diversion,129,0,nmf_kullback
local government_0,130,0,nmf_kullback
change impact,131,0,nmf_kullback
achieve carbon,132,0,nmf_kullback
community protocol,133,0,nmf_kullback
sea level,1,0,nmf_kullback
open space_0,36,0,nmf_kullback
air quality_0,50,0,nmf_kullback
commercial building,83,0,nmf_kullback
water supply,108,0,nmf_kullback
green infrastructure,114,0,nmf_kullback
renewable energy,119,0,nmf_kullback
tree canopy_0,121,0,nmf_kullback
natural gas,124,0,nmf_kullback
action plan,125,0,nmf_kullback
low income,127,0,nmf_kullback
solid waste,129,0,nmf_kullback
local government_1,130,0,nmf_kullback
climate change,131,0,nmf_kullback
electric vehicle,132,0,nmf_kullback
emission inventory_0,133,0,nmf_kullback
rise level,1,1,nmf_kullback
open space_1,36,1,nmf_kullback
air quality_1,50,1,nmf_kullback
building commercial,83,1,nmf_kullback
water treatment,108,1,nmf_kullback
infrastructure specify,114,1,nmf_kullback
energy solar,119,1,nmf_kullback
tree canopy_1,121,1,nmf_kullback
use gas,124,1,nmf_kullback
plan action,125,1,nmf_kullback
income low,127,1,nmf_kullback
waste local,129,1,nmf_kullback
specify local,130,1,nmf_kullback
heat impact,131,1,nmf_kullback
carbon vehicle,132,1,nmf_kullback
emission inventory_1,133,1,nmf_kullback
waste disposal,0,0,blend_model
local public work,2,0,blend_model
locally grow,3,0,blend_model
residential stormwater,5,0,blend_model
increase energy,6,0,blend_model
wastewater treatment,11,0,blend_model
electric bus,12,0,blend_model
action plan_0,13,0,blend_model
change impact,14,0,blend_model
transit orient,16,0,blend_model
income population,17,0,blend_model
certification program,23,0,blend_model
sea level rise,26,0,blend_model
lead conversion,38,0,blend_model
increase tree canopy,44,0,blend_model
local solar,45,0,blend_model
community inventory,46,0,blend_model
specify increase,53,0,blend_model
include commercial building,59,0,blend_model
community protocol,71,0,blend_model
solid waste,0,0,blend_model
local government_0,2,0,blend_model
farmer market_0,3,0,blend_model
green infrastructure,5,0,blend_model
renewable energy,6,0,blend_model
water supply,11,0,blend_model
electric vehicle,12,0,blend_model
action plan_1,13,0,blend_model
climate change,14,0,blend_model
open space,16,0,blend_model
extreme heat,17,0,blend_model
sustainable business,23,0,blend_model
sea level,26,0,blend_model
lead streetlight,38,0,blend_model
tree canopy_0,44,0,blend_model
solar panel,45,0,blend_model
progress report,46,0,blend_model
specify fund,53,0,blend_model
commercial building,59,0,blend_model
emission inventory_0,71,0,blend_model
waste solid,0,1,blend_model
local government_1,2,1,blend_model
farmer market_1,3,1,blend_model
infrastructure stormwater,5,1,blend_model
energy efficiency,6,1,blend_model
water treatment,11,1,blend_model
vehicle charge,12,1,blend_model
plan action,13,1,blend_model
change climate,14,1,blend_model
open development,16,1,blend_model
income heat,17,1,blend_model
business program,23,1,blend_model
flood sea,26,1,blend_model
light lead,38,1,blend_model
tree canopy_1,44,1,blend_model
solar storage,45,1,blend_model
report inventory,46,1,blend_model
specify project,53,1,blend_model
building commercial,59,1,blend_model
emission inventory_1,71,1,blend_model
