terms,freq,cluster,tsne_1,tsne_2,modele
rise projection,3.394385550837832,344,-1.7169006,1.1946561,top2vec
heat mapping,3.30683599498067,344,-2.8656309,-0.39563176,top2vec
flood risk,3.267399190156282,344,-4.930025,0.29467392,top2vec
flood plain,3.0775492775394153,344,-4.7835846,0.25891328,top2vec
extreme heat,17.399866409812795,345,-3.4299715,-0.04768893,top2vec
climate change,14.079398072378174,345,-1.6170596,4.429074,top2vec
low income,12.888872129904305,345,-2.5846114,-3.420503,top2vec
heat wave,12.651755666661675,345,-3.2480338,-0.2195513,top2vec
cool center,9.161205002088892,345,-1.2853554,-1.5291506,top2vec
vulnerable population,8.484393320716062,345,-2.6190631,0.5489362,top2vec
affordable housing,8.45313556074204,345,-2.2973025,-3.7692518,top2vec
heat relate,7.7682539226952345,345,-3.1465824,-0.06673537,top2vec
bear disease,7.254020288973404,345,-2.5520604,-0.20083424,top2vec
air conditioning,6.933228172041134,345,-2.9128656,-0.47865108,top2vec
public health,6.905970609548654,345,-1.3360949,-3.091017,top2vec
heat day,6.5165389241582234,345,-3.3469617,-0.1886835,top2vec
vector bear,6.41012043547797,345,-1.341976,-0.1991309,top2vec
relate illness,5.992015732173696,345,-2.7475476,-0.023901092,top2vec
air quality,5.742926887589673,345,-3.0798383,0.8177971,top2vec
renewable energy,47.715986990911105,346,2.127803,-4.1664476,top2vec
energy efficiency,41.118469704077945,346,1.435884,-4.514173,top2vec
energy use,15.562938894370703,346,1.4742576,-4.404374,top2vec
natural gas,14.427843552789962,346,-2.8465624,-1.2214397,top2vec
commercial building,13.614741828725808,346,-4.109545,-3.7625299,top2vec
clean energy,13.211403795288298,346,1.5044593,-4.276221,top2vec
stationary energy,11.583053187712258,346,1.1062577,-3.446709,top2vec
reduce energy,11.00461954807683,346,1.3924675,-4.6780715,top2vec
building code,10.994054259342448,346,-4.145167,-3.9150026,top2vec
municipal building,10.69196400786362,346,-4.0834236,-3.8533816,top2vec
fossil fuel,9.814983330840086,346,0.19202691,-0.7002125,top2vec
lead streetlight,9.658067588776577,346,-1.7306008,-2.432595,top2vec
community choice,9.444101068054604,346,0.05012324,-2.765906,top2vec
energy consumption,9.314695517588584,346,1.3445677,-4.041418,top2vec
renewable electri,9.2619092783444,346,2.4244406,-3.7410676,top2vec
water supply,33.42250608512623,348,-4.175774,2.4158301,top2vec
management plan,26.325034515282685,348,-0.5969838,2.0644608,top2vec
water conservation,19.714507108529673,348,-3.3385975,2.575895,top2vec
green infrastructure,17.991086152182124,348,-5.5614123,-1.3623341,top2vec
water quality,15.822248141414457,348,-3.9372973,2.1615217,top2vec
water use,14.860663972443628,348,-4.20673,2.4093096,top2vec
stormwater management,12.400314105388738,348,-4.2534723,1.3011817,top2vec
storm water,11.86811527189695,348,-4.5837235,1.8465576,top2vec
treatment plant,10.64862250731537,348,-3.3146307,1.3365532,top2vec
climate change,9.846552313770662,348,-1.6194888,4.431653,top2vec
conservation plan,9.710201167502875,348,-2.5475621,2.3514934,top2vec
drinking water,9.354013610534,348,-4.098953,2.141099,top2vec
water treatment,9.28002390547932,348,-3.8725834,1.9076756,top2vec
wastewater treatment,9.269823105286353,348,-3.4792266,1.6752576,top2vec
stormwater infrastructure,8.462904640764297,348,-5.5386567,-1.1149392,top2vec
square mile,10.686411469344739,349,-1.7674078,-0.7281171,top2vec
local government,6.5025833208761705,349,0.3263475,-1.0552597,top2vec
plan cover,3.7983878363148897,349,-1.0504483,1.0786916,top2vec
county seat,3.7179884105887764,349,-1.1757523,-0.097280376,top2vec
cover entire,3.2113545425499788,349,-1.4278717,-0.212819,top2vec
county state,2.9267115506089296,349,-0.9312986,0.22157563,top2vec
long term,2.872992807495841,349,-1.4334284,-0.09920088,top2vec
area square,2.747454698752852,349,-1.7414446,-0.77775854,top2vec
locate mile,2.735461925267976,349,-1.67246,-0.7456942,top2vec
area square mile,2.66139698100193,349,-1.6043606,-0.78754723,top2vec
climate change,2.4662345040291376,349,-1.616144,4.4300127,top2vec
population approximately,2.2761133064034387,349,-1.858525,-0.21665998,top2vec
country border,2.27600299650266,349,-1.0211521,-0.36220253,top2vec
adjoining area,2.0363006460414073,349,-1.1974292,-0.7382951,top2vec
large emitter,2.0,349,-0.8541687,-0.5816073,top2vec
tree canopy,24.65422466781512,350,-2.6581182,-2.586487,top2vec
open space,15.114614825371078,350,-1.4723564,-1.9320551,top2vec
tree planting,11.102932596237512,350,-2.6295638,-2.7062867,top2vec
urban forest,6.389718050561539,350,-2.3480384,-2.0838943,top2vec
tree plant,5.612714255347481,350,-2.7176633,-2.7174916,top2vec
urban tree,5.236284986099457,350,-2.4943128,-2.5016446,top2vec
defensible space,4.969067825656194,350,-1.4699907,-1.5246394,top2vec
urban agriculture,4.701056902542028,350,-2.0860353,-1.8135473,top2vec
green space,4.347025030566169,350,-1.9728056,-2.740238,top2vec
forest fire,4.318493957052269,350,-2.5103471,-1.5606793,top2vec
increase tree,4.051807111364188,350,-3.222399,-2.3865077,top2vec
urban tree canopy,3.8370420197268174,350,-2.3518603,-2.1949868,top2vec
increase tree canopy,3.6319227925950015,350,-2.9687276,-2.2002873,top2vec
canopy coverage,3.5525097877404512,350,-1.4903852,-0.74609965,top2vec
urban forestry,3.5464072707196035,350,-2.1921735,-1.8373692,top2vec
action plan,74.28212096156629,351,-1.186075,2.637137,top2vec
climate action,53.83680425268303,351,-1.5441132,3.9508352,top2vec
climate action plan,38.97158128589796,351,-1.4409133,3.4495096,top2vec
climate change,37.727351082558606,351,-1.6186548,4.431327,top2vec
mitigation plan,28.2177892653396,351,-1.6256312,2.183312,top2vec
vulnerability assessment,27.850375815369322,351,-2.420929,1.6336133,top2vec
adaptation plan,25.124459459784063,351,-1.5087702,2.4221694,top2vec
hazard mitigation,23.29958595070995,351,-1.8805859,2.1202354,top2vec
hazard mitigation plan,20.942456991661732,351,-1.6786286,2.0063467,top2vec
climate adaptation,15.001905049496457,351,-1.5330359,3.689339,top2vec
plan update,14.901913889506654,351,-0.8506765,1.9257126,top2vec
master plan,14.494170726605532,351,-0.9692271,1.8562473,top2vec
comprehensive plan,11.095298831332238,351,-0.99561286,1.7672217,top2vec
climate resilience,10.645493248779303,351,-1.0405059,3.7750492,top2vec
resilience hub,9.491875741565241,351,-0.642136,3.384059,top2vec
greenhouse gas,28.755665326201047,352,1.3091009,-0.67132294,top2vec
emission inventory,27.396117099605583,352,2.722123,0.33577153,top2vec
ghg inventory,24.390673422968902,352,2.3970075,0.6681087,top2vec
ghg emission,23.996523353829623,352,2.9833348,-0.21858019,top2vec
gas emission,21.29202053235496,352,2.9875667,-0.2264438,top2vec
emission reduction,21.192777258621184,352,2.9405565,-0.30463493,top2vec
emission factor,18.98143246673016,352,2.849163,-0.15849224,top2vec
community protocol,18.157196273651365,352,0.10609124,-2.625974,top2vec
gas inventory,18.153388952411856,352,2.3643754,0.6615816,top2vec
inventory report,17.461776685922267,352,2.288418,0.6832196,top2vec
greenhouse gas emission,17.249529761973825,352,2.0969117,-0.3921341,top2vec
action plan,16.374788891002453,352,-1.186075,2.637137,top2vec
climate action,15.916246326269524,352,-1.5441133,3.9508352,top2vec
carbon neutrality,14.739296335592348,352,0.10513539,-0.6367021,top2vec
natural gas,14.640172354352007,352,-2.8465624,-1.2214396,top2vec
feasibility study,6.281920805725256,353,0.21507473,-0.7357881,top2vec
project fund,5.998742276135356,353,1.5352606,-1.7920246,top2vec
local utility,5.431981767307914,353,0.46125922,-1.1529521,top2vec
climate change,3.971362455742864,353,-1.6170596,4.429074,top2vec
grant funding,3.362161624573286,353,1.1233789,-1.8918653,top2vec
lack funding,3.2682714855223245,353,0.9035116,-1.827512,top2vec
public private,3.2626087311195553,353,-0.3699411,-2.7580295,top2vec
private partnership,3.238110762578817,353,0.48528686,-2.0206335,top2vec
funding source,3.0011325825546615,353,1.0459445,-1.7305754,top2vec
public private partnership,2.9722827385487207,353,0.21839467,-2.0205212,top2vec
non profit,2.8103714561683755,353,0.2597665,-1.7867571,top2vec
renewable energy,2.7189235873346584,353,2.1278033,-4.1664476,top2vec
federal grant,2.6008707472997403,353,0.48757115,-1.6349714,top2vec
sustain scioto,2.548365749334102,353,-0.47550955,-0.54475904,top2vec
grant fund,2.415094015251107,353,1.1156644,-1.8420619,top2vec
electric vehicle,25.303990105174716,354,2.484722,-2.9143167,top2vec
charging station,13.707256324897429,354,1.061553,-2.9566915,top2vec
electric bus,11.67360609044609,354,2.4784887,-2.9471781,top2vec
vehicle charge,9.776636358450679,354,1.9930439,-2.7733438,top2vec
bike share,9.486763274312025,354,-0.49702558,-3.201462,top2vec
charge infrastructure,8.6858514898821,354,-5.528995,-1.3696957,top2vec
electric vehicle charge,8.57606726355871,354,2.216594,-2.8528264,top2vec
charge station,6.553672140390651,354,1.0975064,-2.9851005,top2vec
share program,5.23883496961856,354,1.9911041,-1.4904599,top2vec
mile travel,4.598897916746243,354,-1.2629607,-0.86961514,top2vec
bicycle pedestrian,4.52002265166328,354,-0.9040311,-3.4444175,top2vec
bike lane,4.476511628758374,354,-0.7408137,-3.2840922,top2vec
bike share program,4.455052188415812,354,1.7087448,-1.5375552,top2vec
pilot program,3.9906286268221054,354,2.063793,-1.5010736,top2vec
public transit,3.9667591806049978,354,-0.53191704,-3.911171,top2vec
electric vehicle,26.547029930156206,10,-0.021283943,4.785747,bert_hdbscan
charging station,13.889646059368173,10,0.5215417,3.4220505,bert_hdbscan
electric bus,11.284591147893613,10,0.022204408,4.821015,bert_hdbscan
charge infrastructure,9.268570215452872,10,6.492248,-4.4120345,bert_hdbscan
bike share,8.930920430310929,10,1.5836223,2.2599921,bert_hdbscan
orient development,8.737597067006721,10,6.7303004,-2.4709294,bert_hdbscan
vehicle charge,8.640909663823297,10,0.06913201,4.3748517,bert_hdbscan
electric vehicle charge,8.38028951533279,10,0.05584856,4.604549,bert_hdbscan
charge station,6.385601144773732,10,0.5240048,3.4419816,bert_hdbscan
public transit,5.948907836232129,10,1.8918141,2.7877536,bert_hdbscan
transit orient,5.78914960670509,10,1.9146807,2.761641,bert_hdbscan
mile travel,5.225043293679036,10,0.54083174,1.0769715,bert_hdbscan
share program,5.201722601993988,10,-3.4286714,-1.0057514,bert_hdbscan
bicycle pedestrian,4.685562297634674,10,1.8952912,2.3011234,bert_hdbscan
transit orient development,4.632078375745063,10,6.4955664,-2.360187,bert_hdbscan
lead streetlight,9.008177794976369,47,-1.5621184,-2.8816686,bert_hdbscan
street light,6.4915437049820595,47,-1.7267643,-3.0131607,bert_hdbscan
outdoor lighting,6.0953590284169445,47,-1.616805,-2.4422946,bert_hdbscan
lead lighting,4.301998202770959,47,-1.7192436,-2.7047336,bert_hdbscan
light lead,3.901587930594507,47,-1.4952104,-2.7252636,bert_hdbscan
light project,3.165186441678417,47,-2.865793,-2.4182892,bert_hdbscan
lead light,2.5159519699527446,47,-1.3851273,-2.7552097,bert_hdbscan
traffic light,2.490734601221793,47,-1.3970445,-2.6331048,bert_hdbscan
reduce energy,2.302207168034925,47,3.9151776,5.2795787,bert_hdbscan
light led,2.270148186167393,47,-1.4613619,-2.6382384,bert_hdbscan
lead bulb,2.160765994718692,47,-0.4602727,-2.0049536,bert_hdbscan
energy saving,2.126291206809501,47,2.6123743,5.1210785,bert_hdbscan
energy efficiency,2.1195607884433425,47,2.816782,5.425856,bert_hdbscan
street lighting,1.9913280060634235,47,-1.8346651,-2.9397008,bert_hdbscan
lead conversion,1.9605406427292176,47,-0.6838715,-2.6101284,bert_hdbscan
square mile,8.46539170058613,61,1.104644,1.4046717,bert_hdbscan
county seat,3.278710461784234,61,1.55814,0.44030628,bert_hdbscan
locate mile,2.2658669809146974,61,0.82512957,1.4401007,bert_hdbscan
large population,1.8226458576189308,61,-0.05340129,2.4610922,bert_hdbscan
estimate population,1.8176603809180674,61,-0.0063484786,2.3534932,bert_hdbscan
area square,1.76901260762441,61,1.1570828,0.9902996,bert_hdbscan
area square mile,1.6759237163964638,61,1.0683724,0.9372224,bert_hdbscan
population approximately,1.604719226613106,61,0.17072794,1.9812833,bert_hdbscan
mile north,1.4211909361012547,61,0.972511,1.3181168,bert_hdbscan
locate east,1.36374770294108,61,0.73404974,1.0664752,bert_hdbscan
second large,1.3314693793897208,61,0.88866234,0.019750793,bert_hdbscan
total population,1.2229605741402747,61,-0.03816851,2.4171267,bert_hdbscan
mile locate,1.2212015716962903,61,0.8789801,1.3982999,bert_hdbscan
approximately square,1.1852722864525047,61,0.9668755,1.1294208,bert_hdbscan
fifth large,1.1478758558129132,61,0.86231655,0.029261315,bert_hdbscan
management plan,23.834595872968897,133,4.836753,-1.6734961,bert_hdbscan
open space,1.3128519199933253,133,1.7205932,-0.6391791,bert_hdbscan
asset management,1.0,133,4.991864,-1.3784463,bert_hdbscan
urban forestry management,0.9544375122581752,133,4.217846,-1.2128074,bert_hdbscan
defensible space,0.9513009257611943,133,1.5650333,-0.7331855,bert_hdbscan
forestry management plan,0.9309871488653262,133,4.1724434,-1.6104337,bert_hdbscan
forestry management,0.9309871488653262,133,4.5879173,-1.242653,bert_hdbscan
urban forestry,0.8980743888087864,133,2.7423966,-1.0251442,bert_hdbscan
resource conservation management,0.8937028910601748,133,4.571757,-0.61489904,bert_hdbscan
land management,0.8907821443190129,133,5.0215383,-1.3283911,bert_hdbscan
conservation management,0.8717447667288966,133,4.8172336,-0.6217688,bert_hdbscan
carbon sequestration,0.8348086309609476,133,2.0787418,-2.4638107,bert_hdbscan
pest management,0.8268384369146794,133,4.9611683,-1.2873739,bert_hdbscan
debris management plan,0.8104055560602577,133,4.3921213,-1.6525185,bert_hdbscan
water customer,0.7911467977900257,133,5.377968,2.9025471,bert_hdbscan
water supply,19.365828729504656,135,5.379404,2.7292252,bert_hdbscan
water conservation,15.672975852803184,135,5.0507436,1.1248374,bert_hdbscan
water use,8.773525902349595,135,5.460878,2.8385088,bert_hdbscan
conservation plan,7.869391599773936,135,4.848569,0.33375752,bert_hdbscan
recycled water,5.860747252049623,135,5.905657,2.2818384,bert_hdbscan
water resource,5.7784736728127895,135,5.246621,2.2590888,bert_hdbscan
sustain scioto,4.989131842721677,135,1.7401606,-1.6770688,bert_hdbscan
water meter,4.823182466083809,135,5.5269885,2.8987498,bert_hdbscan
reduce water,4.585770217113078,135,5.3892555,3.7739816,bert_hdbscan
water conservation plan,4.507326928077552,135,4.917416,0.8083102,bert_hdbscan
pump station,4.427090114676411,135,0.5604297,3.3421035,bert_hdbscan
increase water,4.335931146707254,135,4.2869334,2.686582,bert_hdbscan
water system,4.103856814855485,135,5.640862,2.8929298,bert_hdbscan
water efficient,4.066465770600163,135,5.0095077,3.1649897,bert_hdbscan
surface water,3.950402372604259,135,5.456579,2.8447452,bert_hdbscan
business program,4.88070108308556,150,-3.4388688,-0.39604354,bert_hdbscan
sustainable business,3.9457687470376017,150,-3.075528,0.57968223,bert_hdbscan
green business,3.860812679190652,150,-3.1423645,0.29544106,bert_hdbscan
certification program,3.656774206896644,150,-2.6758447,-0.8434258,bert_hdbscan
business certification,1.995445447086476,150,-2.5676408,-0.43068248,bert_hdbscan
local business,1.6755448163917515,150,-2.996645,0.34327844,bert_hdbscan
business certification program,1.5230459153259086,150,-2.6321456,-0.5779646,bert_hdbscan
program business,1.4467099556340277,150,-3.413578,-0.34863704,bert_hdbscan
safety program,1.3340203848866372,150,-3.3191779,-1.0279564,bert_hdbscan
business network,1.186333787682437,150,-2.8781433,0.1765732,bert_hdbscan
development new,1.1719673005044606,150,6.8161745,-2.5144172,bert_hdbscan
utility provider,1.1589720390501626,150,-0.39604747,-1.6347152,bert_hdbscan
commercial business,1.056920333158561,150,-3.2976918,0.4401475,bert_hdbscan
energy challenge,1.030072245290871,150,2.4917939,4.874074,bert_hdbscan
health department,1.0,150,3.8184369,-0.30402678,bert_hdbscan
unknown time,1.7742476993067249,152,0.42650324,-0.442304,bert_hdbscan
public utility,1.0,152,-0.19440427,-2.1629977,bert_hdbscan
port neighborhood,1.0,152,1.5060837,-0.37929913,bert_hdbscan
recreation department,1.0,152,3.964536,-0.6380429,bert_hdbscan
transportation system,1.0,152,2.0123236,3.1934698,bert_hdbscan
sustainability coordinator,1.0,152,1.7887021,-1.872417,bert_hdbscan
environmental quality,1.0,152,3.5927575,0.12754786,bert_hdbscan
cost unknown,0.8856019422270466,152,0.17940709,-0.6633726,bert_hdbscan
service line,0.8709533678915018,152,0.50662637,-1.4859655,bert_hdbscan
health environment locate,0.7881038446863506,152,3.025813,-0.03736119,bert_hdbscan
available health,0.7881038446863506,152,0.75787455,-0.79250836,bert_hdbscan
data available health,0.7881038446863506,152,0.7741931,-0.87576157,bert_hdbscan
available health environment,0.7881038446863506,152,2.8301384,-0.16348344,bert_hdbscan
environment locate,0.7881038446863506,152,3.1849658,-0.036570698,bert_hdbscan
health environmental,0.7667101518981767,152,3.5132797,0.1380844,bert_hdbscan
public meeting,6.0208984745426894,163,1.1405619,-3.8751562,bert_hdbscan
stakeholder engagement,4.020223887831055,163,1.9267659,-4.381917,bert_hdbscan
community member,3.686263197552285,163,0.6967279,-4.697076,bert_hdbscan
online survey,3.4158992081714468,163,1.22493,-3.4158113,bert_hdbscan
engagement process,2.9592513583713216,163,2.047781,-4.1575146,bert_hdbscan
stakeholder group,2.7570394728974565,163,1.778754,-4.441724,bert_hdbscan
climate action,2.506344739304252,163,4.2212853,-5.755783,bert_hdbscan
planning process,2.495626763813083,163,2.5064123,-3.770875,bert_hdbscan
draft plan,2.455256478870364,163,4.0984883,-3.0927224,bert_hdbscan
task force,2.326126598942656,163,1.1301152,-1.4827754,bert_hdbscan
open house,2.3172734972611546,163,0.8436233,-0.7297173,bert_hdbscan
work group,2.15494466905514,163,1.5669771,-4.2211947,bert_hdbscan
process include,2.0461002601789793,163,1.8806077,-3.1597652,bert_hdbscan
community engagement,1.9866993491837293,163,1.188516,-4.6904135,bert_hdbscan
social medium,1.9257915121391542,163,0.78658056,-1.1094273,bert_hdbscan
project fund,4.383266932580184,169,-3.172168,-2.375812,bert_hdbscan
affordable housing,2.625632098641268,169,-1.6879102,0.8476412,bert_hdbscan
grant funding,2.5550207441483623,169,-1.6356634,-1.1066499,bert_hdbscan
funding source,2.5228577929780602,169,-1.419181,-1.1058711,bert_hdbscan
public private,2.3917573065616384,169,0.15787736,-1.9072835,bert_hdbscan
private partnership,2.230028297051031,169,-0.5391549,-1.4673523,bert_hdbscan
public private partnership,1.959629767390978,169,-0.13888822,-1.6036776,bert_hdbscan
partial funding,1.8824813299422545,169,-1.3835231,-1.0393056,bert_hdbscan
economic development,1.8065454457733838,169,6.7183876,-2.4612424,bert_hdbscan
fund regular,1.7483882290276056,169,-0.54242736,-0.99132055,bert_hdbscan
funding opportunity,1.700121808553329,169,-1.527746,-1.1962326,bert_hdbscan
local fund,1.6999057983094605,169,-1.0135809,-0.35436508,bert_hdbscan
private development,1.6728669867106603,169,6.716219,-2.4611766,bert_hdbscan
federal grant,1.5027817885394263,169,-0.7353029,-0.96798563,bert_hdbscan
fund utility,1.4498078322169357,169,-0.9216349,-1.6736805,bert_hdbscan
tree canopy,22.703236952349,170,3.0705655,-1.8483316,bert_hdbscan
tree planting,10.550201380660816,170,3.1427362,-2.000649,bert_hdbscan
urban forest,6.122567121002235,170,2.861978,-1.1396211,bert_hdbscan
master plan,6.02942965377592,170,4.2873926,-2.9668477,bert_hdbscan
tree plant,5.9822832061096625,170,3.2305205,-2.0139387,bert_hdbscan
urban tree,5.017539298235664,170,2.9783266,-1.5794225,bert_hdbscan
urban tree canopy,4.249458056965025,170,2.815392,-1.4490408,bert_hdbscan
increase tree,4.032863614730019,170,3.622548,2.320921,bert_hdbscan
green space,3.6066957365612566,170,2.3128564,-1.3856608,bert_hdbscan
increase tree canopy,3.4828897750970804,170,3.5421987,2.142912,bert_hdbscan
forest fire,3.435976255504588,170,2.8793378,-0.8857988,bert_hdbscan
new tree,2.9627855419602644,170,2.9118679,-1.928545,bert_hdbscan
canopy coverage,2.915832031856198,170,1.1713196,-0.6191156,bert_hdbscan
plant tree,2.850617998324755,170,3.2673826,-2.0679145,bert_hdbscan
urban forestry,2.793901730889033,170,2.7423816,-1.0251423,bert_hdbscan
emission inventory,20.98477362085374,173,-1.299532,-5.5912766,bert_hdbscan
ghg inventory,20.858956714821996,173,-0.6326573,-5.693522,bert_hdbscan
greenhouse gas,16.097665376516726,173,-0.7165555,-4.0295568,bert_hdbscan
community protocol,15.753287199265653,173,0.57390326,-4.6662674,bert_hdbscan
inventory report,15.646523736421106,173,-0.558135,-5.68907,bert_hdbscan
gas inventory,15.474007531639185,173,-0.65172726,-5.6902843,bert_hdbscan
emission factor,14.90819128727441,173,-1.8962955,-5.2683163,bert_hdbscan
gas emission,12.50496986268124,173,-1.9999282,-5.279972,bert_hdbscan
ghg emission,11.916324314686754,173,-1.9823817,-5.2862663,bert_hdbscan
greenhouse gas emission,9.797192127465841,173,-1.2895653,-4.5296364,bert_hdbscan
scope emission,9.596133151970227,173,-1.9466,-5.2878914,bert_hdbscan
natural gas,8.303199341072244,173,2.2838066,-0.37041852,bert_hdbscan
detailed report,7.690833196080796,173,1.2961797,-3.120836,bert_hdbscan
greenhouse gas inventory,7.016489605633468,173,-0.6040655,-4.7037606,bert_hdbscan
community inventory,6.81371060581577,173,0.139879,-5.161851,bert_hdbscan
local government,5.641243954313711,174,2.7025545,0.40002617,bert_hdbscan
target development,2.0,174,6.72927,-2.4976478,bert_hdbscan
intend incorporate,2.0,174,1.611581,-2.061546,bert_hdbscan
beach county,1.565349860639675,174,1.5238521,0.27072328,bert_hdbscan
federal government,1.4689437867982245,174,2.6761644,0.3712251,bert_hdbscan
program update,1.3874228383761193,174,3.9227662,1.0560019,bert_hdbscan
state county,1.275353573228373,174,1.8264806,0.5995923,bert_hdbscan
target consistent,1.0,174,1.2934041,-2.658722,bert_hdbscan
transportation mobility,1.0,174,2.0093696,3.1900332,bert_hdbscan
summit county,1.0,174,1.5650431,0.30118045,bert_hdbscan
